"individual_id","dataset_identifier","data_owner","contact_email","file_name","device_id","device_type","year","month","day","time","time_zone","deployment_site","deployment_decimal_latitude","deployment_decimal_longitude","sex","how_sexed","age_class","genotyped","age.","progesterone","If.yes..status","comments","meta_source","breeding_stock","region"
"102211","Constantine_Raoul_2015","Rochelle Constantine","r.constantine@auckland.ac.nz","Constantine_Raoul_2015_Raw_humpback_speed_for RAATD.xlsx.csv","102211","PTT",2015,10,10,"23:53","UTC","Raoul Island",-29.234,-177.922,"U",NA,NA,NA,NA,NA,NA,NA,"meta","E2/F","Pacific"
"102218","Constantine_Raoul_2015","Rochelle Constantine","r.constantine@auckland.ac.nz","Constantine_Raoul_2015_Raw_humpback_speed_for RAATD.xlsx.csv","102218","PTT",2015,10,10,"23:27","UTC","Raoul Island",-29.282,-177.997,"M",NA,NA,NA,NA,NA,NA,NA,"meta","E2/F","Pacific"
"111866","Constantine_Raoul_2015","Rochelle Constantine","r.constantine@auckland.ac.nz","Constantine_Raoul_2015_Raw_humpback_speed_for RAATD.xlsx.csv","111866","PTT",2015,11,6,"4:46:34","UTC","Raoul Island",-48.301,-163.339,"F",NA,NA,NA,NA,NA,NA,NA,"meta","E2/F","Pacific"
"111871","Constantine_Raoul_2015","Rochelle Constantine","r.constantine@auckland.ac.nz","Constantine_Raoul_2015_Raw_humpback_speed_for RAATD.xlsx.csv","111871","PTT",2015,10,8,"20:01","UTC","Raoul Island",-29.348,-178.081,"F",NA,NA,NA,NA,NA,NA,NA,"meta","E2/F","Pacific"
"112692","Friedlaender","Ari Friedlaender","ari.friedlaender@ucsc.edu","Ari_data-Argos.csv","112692","Argos",2012,1,3,NA,"UTC","Antarctic Peninsula",-64.8093,-63.8579,NA,NA,NA,NA,"adult",NA,NA,NA,"meta","G","EastPacific"
"112693","WA_Fisheries","Virginia Andrews-Goff, Mike Double, Jason How","Virginia.Andrews-Goff@aad.gov.au","WA_Fisheries","112693","PTT",2016,9,21,"1359","AWST","Carnarvon",-25.47926667,113.0287167,"M","genetic","Adult",NA,NA,NA,NA,NA,"meta","D","EastIndian"
"112694","Constantine_Raoul_2015","Rochelle Constantine","r.constantine@auckland.ac.nz","Constantine_Raoul_2015_Raw_humpback_speed_for RAATD.xlsx.csv","112694","PTT",2015,10,10,"22:42","UTC","Raoul Island",-29.375,-178.055,"U",NA,NA,NA,NA,NA,NA,NA,"meta","E2/F",NA
"112699","Friedlaender","Ari Friedlaender","ari.friedlaender@ucsc.edu","Ari_data-Argos.csv","112699","Argos",2012,1,26,NA,"UTC","Antarctic Peninsula",-68.8632,-76.25,NA,NA,NA,NA,"adult",NA,NA,NA,"meta","G","EastPacific"
"112701","Friedlaender","Ari Friedlaender","ari.friedlaender@ucsc.edu","Ari_data-Argos.csv","112701","Argos",2012,1,31,NA,"UTC","Antarctic Peninsula",-64.7975,-62.7723,NA,NA,NA,NA,"adult",NA,NA,NA,"meta","G","EastPacific"
"112703","Friedlaender","Ari Friedlaender","ari.friedlaender@ucsc.edu","Ari_data-Argos.csv","112703","Argos",2012,1,30,NA,"UTC","Antarctic Peninsula",-64.8764,-64.0675,NA,NA,NA,NA,"adult",NA,NA,NA,"meta","G","EastPacific"
